fold,model,MAE,RMSE,MAPE
1,XGB,4.636222677072768,6.529686800445979,9.264998413973013
2,XGB,6.020175546572354,8.53340527845563,11.414281587814818
3,XGB,4.421398659173954,6.285320849263283,7.5934406301017905
4,XGB,5.996786191318575,9.8829157851934,7.413657268236067
5,XGB,6.159423867115,9.217705750446767,7.52253732519579
1,LGB,4.65504207669654,6.467999354373418,9.320579352801788
2,LGB,6.00633289498827,8.696017925100348,10.96930596334143
3,LGB,4.385752133309452,6.257580879649811,7.528843191596623
4,LGB,5.932762564322986,9.669518679569613,7.3930631544950876
5,LGB,6.190962202732614,9.251152587692,7.530290521229629
